(0, BURNHAM HOUSE, 1610, WASHINGTON HTS, ANN ARBOR, MI, 48104-1700, 42.2804539, -83.7278092, 1000010, 0),
(1, SOCCER TICKET BUILDING, 2364, STATE ST, ANN ARBOR, MI, 48109, 42.252234, -83.7397101, 1005401, 0),
(2, CRAM PLACE COMMUNITY CENTER, 2150, CRAM PL, ANN ARBOR, MI, 48105-2206, 42.2967772, -83.7161759, 1000498, 0),
(3, GOLF COURSE GARAGE, 500, STADIUM BLVD, ANN ARBOR, MI, 48104-3700, 42.2642009, -83.7536208, 1000741, 0),
(4, ZINA PITCHER PARKING STRUCTURE, 207, ZINA PITCHER PL, ANN ARBOR, MI, 48104, 42.2824352, -83.7336362, 1005580, 0),
(5, MICHIGAN MARCHING BAND TEMPORARY TRAILER, 613, FIFTH AVE, ANN ARBOR, MI, 48104, 42.2862296, -83.745874, 1005570, 0),
(6, FIRST NATIONAL BUILDING, 201, MAIN ST, ANN ARBOR, MI, 48104, 0.0, 0.0, 1005502, 0),
(7, AIRPORT PLAZA - 3815 PLAZA DRIVE, 3815, PLAZA DR, ANN ARBOR, MI, 48108-1655, 0.0, 0.0, 1008102, 0),
(8, 214 S STATE ST, 214, STATE ST, ANN ARBOR, MI, 48104, 42.2801174, -83.7409366, 1005351, 0),
(9, 320 W ANN, 320, ANN ST, ANN ARBOR, MI, 48104-1337, 42.2821917, -83.745401, 1008157, 0),
(10, GLICK AL FIELD HOUSE, 1300, STATE ST, ANN ARBOR, MI, 48109-2209, 42.265708, -83.740577, 1005121, 0),
(11, 324  JOHN ST, 324, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005543, 0),
(12, 300 N INGALLS BUILDING, 300, INGALLS ST, ANN ARBOR, MI, 48109-5400, 42.283485, -83.7378144, 1000332, 0),
(13, ROSS SCHOOL OF BUSINESS BUILDING, 701, TAPPAN ST, ANN ARBOR, MI, 48109, 0.0, 0.0, 1005188, 0),
(14, MCITY STORAGE, 2907, BAXTER RD, ANN ARBOR, MI, 48109, 42.2975327, -83.7042323, 1005442, 0),
(15, BEYSTER BOB AND BETTY BUILDING, 2260, HAYWARD ST, ANN ARBOR, MI, 48109-2121, 42.2930171, -83.7163456, 1005092, 0),
(16, COOK JOHN P BUILDING, 551, STATE ST, ANN ARBOR, MI, 48109-1208, 42.2744328, -83.7401474, 1000109, 0),
(17, FACILITIES SERVICES BUILDING C, 1201, KIPKE DR, ANN ARBOR, MI, 48109-2037, 42.2664585, -83.7457423, 1000802, 0),
(18, MICHIGAN STADIUM NORTH PLAZA BUILDING B, 102, KEECH AVE, ANN ARBOR, MI, 48109, 42.2676338, -83.7484859, 1005243, 0),
(19, WEISFELD FAMILY GOLF CENTER, 2119, MAIN LN, ANN ARBOR, MI, 48103, 0.0, 0.0, 1005319, 0),
(20, HILL ST PARKING STRUCTURE, 1001, HILL ST, ANN ARBOR, MI, 48104-3309, 42.272093, -83.7368343, 1000253, 0),
(21, 555 SOUTH FOREST BUILDING, 555, FOREST AVE, ANN ARBOR, MI, 48104-2584, 42.2753108, -83.732837, 1000879, 0),
(22, BRIARWOOD 9, 1901, BRIARWOOD CIR, ANN ARBOR, MI, 48108-1679, 42.2431258, -83.7497049, 1008142, 0),
(23, MADISON BUILDING, 109, MADISON ST, ANN ARBOR, MI, 48104-2943, 42.274334, -83.7478692, 1000858, 0),
(24, FORD MOTOR COMPANY ROBOTICS BUILDING, 2505, HAYWARD ST, ANN ARBOR, MI, 48109, 42.2945915, -83.7094127, 1005418, 0),
(25, WEST QUADRANGLE, 541, THOMPSON ST, ANN ARBOR, MI, 48109-1360, 42.2749075, -83.7425634, 1000066, 0),
(26, CANHAM DONALD B NATATORIUM, 500, HOOVER AVE, ANN ARBOR, MI, 48104-3715, 42.2695488, -83.7434268, 1000718, 0),
(27, CENTRAL CAMPUS RESIDENTIAL DEVELOPMENT BUILDING 3, 920, DIVISION ST, ANN ARBOR, MI, 48109, 42.2705392, -83.7445048, 1005616, 0),
(28, OH PLANT SERVICE, 629, OXFORD RD, ANN ARBOR, MI, 48109, 42.274214, -83.725933, 1000047, 0),
(29, STAMPS AUDITORIUM, 1226, MURFIN AVE, ANN ARBOR, MI, 48109, 42.2919567, -83.7174266, 1005224, 0),
(30, NORTH CAMPUS RESEARCH COMPLEX BUILDING 85, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005274, 0),
(31, REC SPORTS ADV LEADERSHIP RENTAL CTR OFFICES TRLR, 613, FIFTH AVE, ANN ARBOR, MI, 48104, 42.2862296, -83.745874, 1005569, 0),
(32, 3915 RESEARCH PARK DRIVE, 3915, RESEARCH PARK DR, ANN ARBOR, MI, 48108, 42.2357807, -83.7341697, 1005352, 0),
(33, NORTH CAMPUS SWITCH STATION, 2595, DRAPER DR, ANN ARBOR, MI, 48109-2120, 42.2929504, -83.7101313, 1000408, 0),
(34, AEROSPACE ENGINEERING LAB PROPULSION LAB, 2601, DRAPER DR, ANN ARBOR, MI, 48109-2101, 42.2929744, -83.7104178, 1000422, 0),
(35, AERO ENG LAB PUMPING STATION, 2605, DRAPER DR, ANN ARBOR, MI, 48109-2101, 42.2938432, -83.709974, 1000423, 0),
(36, EAST QUADRANGLE, 701, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1245, 42.2729287, -83.7351593, 1000054, 0),
(37, ENGINEERING RESEARCH BUILDING 1, 2200, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2099, 42.2895734, -83.7144789, 1000435, 0),
(38, MICHIGAN OFFICE MOVERS, 3530, ELLSWORTH RD, ANN ARBOR, MI, 48108, 42.2304687, -83.6894572, 1005233, 0),
(39, MICHIGAN COMPUTER SUPPLIES, 4403, CONCOURSE DR, ANN ARBOR, MI, 48108, 0.0, 0.0, 1005250, 0),
(40, BAXTER ROAD MONITORING SHED, 3256, BAXTER RD, ANN ARBOR, MI, 48109, 42.2971872, -83.7015785, 1005290, 0),
(41, 1736 BROADWAY HOUSE, 1736, BROADWAY ST, ANN ARBOR, MI, 48105-1814, 42.2972749, -83.7219604, 1000885, 0),
(42, 1736 BROADWAY GARAGE, 1736, BROADWAY ST, ANN ARBOR, MI, 48105-1814, 42.2972749, -83.7219604, 1000891, 0),
(43, NATIONAL STORAGE CENTER, 1645, PLYMOUTH RD, ANN ARBOR, MI, 48105-1824, 42.2969568, -83.7296018, 1005208, 0),
(44, ONE NORTH MAIN, 101, MAIN ST, ANN ARBOR, MI, 48104-5517, 0.0, 0.0, 1005118, 0),
(45, NORTH CAMPUS RESEARCH COMPLEX BUILDING 500, 1600, HURON PKWY, ANN ARBOR, MI, 48109-2800, 42.297726, -83.704761, 1005280, 0),
(46, GLEN AVE PARKING STRUCTURE, 333, GLEN AVE, ANN ARBOR, MI, 48104-1625, 42.282816, -83.735705, 1000331, 0),
(47, MOSHER ELIZA M HALL AND JORDAN MYRA B HALL, 200, OBSERVATORY ST, ANN ARBOR, MI, 48109-2035, 42.2800791, -83.7315367, 1000061, 0),
(48, RAHS HEALTH CENTER SCARLETT MIDDLE SCHOOL, 3300, LORRAINE ST, ANN ARBOR, MI, 48108-1970, 42.2351322, -83.6926817, 1005214, 0),
(49, VAUGHAN VICTOR C HOUSE, 1111, CATHERINE ST, ANN ARBOR, MI, 48109-2054, 42.2832896, -83.7337444, 1000065, 0),
(50, PRESIDENTS RESIDENCE, 815, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1189, 42.2753662, -83.7385511, 1000203, 0),
(51, WEIDENBACH JOHN P HALL, 1000, STATE ST, ANN ARBOR, MI, 48109-2201, 42.26957, -83.740684, 1000731, 0),
(52, SCHOOL OF NURSING BUILDING 2, 426, INGALLS ST, ANN ARBOR, MI, 48109, 42.2846319, -83.7386714, 1005347, 0),
(53, MEDICAL SCIENCE UNIT I, 1301, CATHERINE ST, ANN ARBOR, MI, 48109-2026, 42.2840312, -83.7321918, 1000190, 0),
(54, NORTH CAMPUS RESEARCH COMPLEX BUILDING 70, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005271, 0),
(55, NORTH CAMPUS GROUNDS STORAGE SHED, 2550, DRAPER DR, ANN ARBOR, MI, 48109-2115, 42.2929504, -83.7101313, 1005297, 0),
(56, ELBEL FIELD AUDIOVISUAL BOOTH, 616, FIFTH AVE, ANN ARBOR, MI, 48104, 42.2862713, -83.7456476, 1005589, 0),
(57, OBSERVATORY HALL, 201, OBSERVATORY ST, ANN ARBOR, MI, 48109-2013, 42.2820902, -83.7309587, 1000851, 0),
(58, GLAZIER BUILDING, 115, HURON ST, ANN ARBOR, MI, 48104-1318, 42.2812982, -83.7489529, 1005500, 0),
(59, RADRICK FARMS COMFORT STATION #2, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1005331, 0),
(60, PALMER DRIVE PARKING STRUCTURE, 200, WASHTENAW AVE, ANN ARBOR, MI, 48109, 42.2593497, -83.7104997, 1000263, 0),
(61, NORTH CAMPUS RESEARCH COMPLEX BUILDING 73, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005272, 0),
(62, MODULAR ACCELERATOR BUILDING, 1500, MEDICAL CENTER DR, ANN ARBOR, MI, 48109-5000, 42.2821095, -83.7273205, 1005367, 0),
(63, HURON TOWERS, 2200, FULLER CT, ANN ARBOR, MI, 48105-2311, 42.285586, -83.7175674, 1000869, 0),
(64, NORTH CAMPUS RESEARCH COMPLEX BUILDING 86, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005335, 0),
(65, 3520 GREEN COURT, 3520, GREEN CT, ANN ARBOR, MI, 48105, 42.3020273, -83.6897783, 1005574, 0),
(66, NEWBERRY HELEN H RESIDENCE, 432, STATE ST, ANN ARBOR, MI, 48109-1329, 42.2769675, -83.7415475, 1000062, 0),
(67, AUXILIARY SERVICES BUILDING 1, 1919, GREEN RD, ANN ARBOR, MI, 48109-2564, 42.3026838, -83.6927101, 1002501, 0),
(68, 2650 CARPENTER ROAD, 2650, CARPENTER RD, ANN ARBOR, MI, 48108, 0.0, 0.0, 1005514, 0),
(69, 730 S DIVISION ST, 730, DIVISION ST, ANN ARBOR, MI, 48104, 42.27214, -83.744499, 1005596, 0),
